DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2018-0211-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,"Fujian, Guangdong, Guangxi",,,No,No,No,,,Km2,,,,2018,5,7,2018,5,14,2,,6000,,6000,,,,,67000,81300,82.41066796,"[{""adm1_code"":901,""adm1_name"":""Fujian Sheng""},{""adm1_code"":903,""adm1_name"":""Guangdong Sheng""},{""adm1_code"":904,""adm1_name"":""Guangxi Zhuangzu Zizhiqu""}]",2018/7/20,2023/9/25
2018-0250-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:TC-2018-000110,,CHN,China,Eastern Asia,Asia,"Deyang, Mianyang, Guangyuan prefectures (Sichuan province)","Typhoon Prapiroon, Typhoon Maria",,No,No,No,,,Km2,,,,2018,7,7,2018,7,7,3,,1381000,,1381000,,,,,781283,948036,82.41066796,"[{""adm2_code"":13259,""adm2_name"":""Deyang""},{""adm2_code"":13260,""adm2_name"":""Mianyang""},{""adm2_code"":13261,""adm2_name"":""Guangyuan""}]",2018/7/27,2023/9/25
2018-0252-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:TC-2018-000110,,CHN,China,Eastern Asia,Asia,"Tianshui, Zhangye, Pingliang (Gansu province)",,,No,No,No,,,Km2,,,,2018,7,10,2018,7,11,16,,1519000,,1519000,,,,,530689,643957,82.41066796,"[{""adm2_code"":13018,""adm2_name"":""Tianshui""},{""adm2_code"":13020,""adm2_name"":""Zhangye""},{""adm2_code"":13024,""adm2_name"":""Pingliang""}]",2018/7/27,2023/9/25
2018-0282-CHN,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,CHN,China,Eastern Asia,Asia,,,Storm,No,No,No,,,Km2,,,Yangtze River basin,2018,6,28,2018,7,5,11,,36000,,36000,,,,,278000,337335,82.41066796,,2018/8/9,2023/9/25
2018-0369-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,,,,No,No,No,,,Km2,,,,2018,8,29,2018,9,5,18,,11400,,11400,,,,,790000,958614,82.41066796,,2018/10/11,2023/9/25
2019-0161-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,Shenzhen City (Guangdong Province),Heavy rains,,No,No,No,,,Km2,,,,2019,4,11,2019,4,12,11,,,,,,,,,,,83.90417006,"[{""adm2_code"":13030,""adm2_name"":""Shenzhen""}]",2019/4/18,2023/9/25
2019-0209-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,"Yunnan, Guizhou, Guangxi, Hunan, Guangdong, Jiangxi, Zhejiang, Fujian, Chongqing provinces",Heavy rains,,No,No,No,,,Km2,,,,2019,6,13,2019,7,1,300,,4500000,,4500000,,,700000,834285,6200000,7389382,83.90417006,"[{""adm1_code"":900,""adm1_name"":""Chongqing Shi""},{""adm1_code"":901,""adm1_name"":""Fujian Sheng""},{""adm1_code"":903,""adm1_name"":""Guangdong Sheng""},{""adm1_code"":904,""adm1_name"":""Guangxi Zhuangzu Zizhiqu""},{""adm1_code"":905,""adm1_name"":""Guizhou Sheng""},{""adm1_code"":912,""adm1_name"":""Hunan Sheng""},{""adm1_code"":914,""adm1_name"":""Jiangxi Sheng""},{""adm1_code"":929,""adm1_name"":""Yunnan Sheng""},{""adm1_code"":930,""adm1_name"":""Zhejiang Sheng""}]",2019/6/14,2023/9/25
2019-0333-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,"Zhejiang, Fujian, Jiangxi, Hunan, Guangdong, Yunnan, Sichuan provinces, Guangxi Zhuang Autonomous Region, Tibet Autonomous Region",,,No,No,No,,,Km2,,,,2019,7,15,2019,7,15,17,,360000,,360000,,,,,,,83.90417006,"[{""adm1_code"":901,""adm1_name"":""Fujian Sheng""},{""adm1_code"":903,""adm1_name"":""Guangdong Sheng""},{""adm1_code"":904,""adm1_name"":""Guangxi Zhuangzu Zizhiqu""},{""adm1_code"":912,""adm1_name"":""Hunan Sheng""},{""adm1_code"":914,""adm1_name"":""Jiangxi Sheng""},{""adm1_code"":924,""adm1_name"":""Sichuan Sheng""},{""adm1_code"":928,""adm1_name"":""Xizang Zizhiqu""},{""adm1_code"":929,""adm1_name"":""Yunnan Sheng""},{""adm1_code"":930,""adm1_name"":""Zhejiang Sheng""}]",2019/7/15,2023/9/25
2019-0381-CHN,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,CHN,China,Eastern Asia,Asia,Duobi Gorge in Hefeng County (Hubei province),Heavy rains,,No,No,No,,,Km2,,,,2019,8,4,2019,8,5,13,61,15800,,15861,,,,,,,83.90417006,"[{""adm1_code"":911,""adm1_name"":""Hubei Sheng""}]",2019/8/5,2023/9/25
2019-0469-CHN,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,CHN,China,Eastern Asia,Asia,Heilongjiang province,Heavy rains,,No,No,No,,,Km2,,,Ashi River,2019,7,29,2019,8,1,,,11400,,11400,,,,,315000,375428,83.90417006,"[{""adm1_code"":908,""adm1_name"":""Heilongjiang Sheng""}]",2019/10/2,2023/9/25
2019-0611-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,Central,Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2019,10,15,2019,10,25,14,,,,,,,,,90000,107265,83.90417006,"[{""adm1_code"":909,""adm1_name"":""Henan Sheng""},{""adm1_code"":911,""adm1_name"":""Hubei Sheng""},{""adm1_code"":912,""adm1_name"":""Hunan Sheng""},{""adm1_code"":914,""adm1_name"":""Jiangxi Sheng""}]",2019/12/11,2023/9/25
2020-0276-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,Mianning county (Sichuan province),,,No,No,No,,,Km2,,,Yangtze river,2020,6,30,2020,7,5,22,,10000000,,10000000,,,,,,,84.93919813,"[{""adm2_code"":13272,""adm2_name"":""Liangshan Yi""}]",2020/7/2,2023/9/25
2020-0282-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,"Tongzi (Zunyi), Huishui Counties (Qiannan), Zunyi, Tongren, Qiandongnan Counties (Guizhou Province); Shijiaozhen(Qingyuan), Qijiang district (Chongqing province)",Heavy rains,,No,No,No,,,Km2,,,,2020,6,22,2020,6,24,3,,74000,,74000,,,,,,,84.93919813,"[{""adm1_code"":900,""adm1_name"":""Chongqing Shi""},{""adm2_code"":13043,""adm2_name"":""Qingyuan""},{""adm2_code"":13065,""adm2_name"":""Zunyi""},{""adm2_code"":13066,""adm2_name"":""Tongren""},{""adm2_code"":13070,""adm2_name"":""Qiandongnan Miao and Dong""},{""adm2_code"":13071,""adm2_name"":""Qiannan Buyei and Miao""}]",2020/7/3,2023/9/25
2020-0322-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,"Anhui, Hubei, Chongqing,Guangxi Zhuang Autonomous Region, Guangdong, Hunan, Guizhou, Yunnan, Jiangxi, Zhejiang, Fujian provinces",Torrential rains,,No,No,No,,,Km2,,,Yangtze River Basin,2020,5,21,2020,7,30,280,,4200000,,4200000,,,350000,412059,17000000,20014317,84.93919813,"[{""adm1_code"":898,""adm1_name"":""Anhui Sheng""},{""adm1_code"":900,""adm1_name"":""Chongqing Shi""},{""adm1_code"":901,""adm1_name"":""Fujian Sheng""},{""adm1_code"":903,""adm1_name"":""Guangdong Sheng""},{""adm1_code"":904,""adm1_name"":""Guangxi Zhuangzu Zizhiqu""},{""adm1_code"":905,""adm1_name"":""Guizhou Sheng""},{""adm1_code"":911,""adm1_name"":""Hubei Sheng""},{""adm1_code"":912,""adm1_name"":""Hunan Sheng""},{""adm1_code"":914,""adm1_name"":""Jiangxi Sheng""},{""adm1_code"":929,""adm1_name"":""Yunnan Sheng""},{""adm1_code"":930,""adm1_name"":""Zhejiang Sheng""}]",2020/8/10,2023/9/25
2020-0496-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,"Shaanxi , Shanxi Provinces",Heavy rains,Industrial accidents,No,No,No,,,Km2,,,,2020,11,11,2020,11,12,13,,120,,120,,,,,,,84.93919813,"[{""adm1_code"":920,""adm1_name"":""Shaanxi Sheng""},{""adm1_code"":923,""adm1_name"":""Shanxi Sheng""}]",2020/11/24,2023/9/25
2020-0581-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,,,,No,No,No,,,Km2,,,,2020,8,,2020,8,,92,,,,,,,300000,353194,4800000,5651101,84.93919813,"[{""adm1_code"":900,""adm1_name"":""Chongqing Shi""},{""adm1_code"":911,""adm1_name"":""Hubei Sheng""},{""adm1_code"":924,""adm1_name"":""Sichuan Sheng""}]",2021/1/7,2023/9/25
2021-0380-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,Jiangxi Province,Heavy rains,,No,No,No,,,Km2,,,,2021,6,28,2021,7,2,,,1080000,,1080000,,,,,161000,181042,88.92949348,"[{""adm1_code"":914,""adm1_name"":""Jiangxi Sheng""}]",2021/7/7,2023/9/25
2021-0428-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),DFO:5096,,CHN,China,Eastern Asia,Asia,"Zhengzhou, Hebi, Anyang, Xinxiang Cities (Henan Province); Inner Mongolia Autonomous Region; Shaanxi",Tropical cyclone 'Cempaka',,No,No,No,,,Km2,,,,2021,6,1,2021,8,30,352,,14500000,,14500000,,,,,16500000,18554024,88.92949348,"[{""adm1_code"":909,""adm1_name"":""Henan Sheng""},{""adm1_code"":917,""adm1_name"":""Nei Mongol Zizhiqu""},{""adm1_code"":920,""adm1_name"":""Shaanxi Sheng""}]",2021/7/22,2023/9/25
2021-0507-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,"Xiangyang, Suizhou, Xiaogan, Liulin, Yicheng (Hubei province)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2021,8,12,2021,8,13,21,,286100,,286100,,,,,,,88.92949348,"[{""adm2_code"":13119,""adm2_name"":""Shiyan""},{""adm2_code"":13120,""adm2_name"":""Yichang""},{""adm2_code"":13121,""adm2_name"":""Xiangfan""},{""adm2_code"":13124,""adm2_name"":""Xiaogan""},{""adm2_code"":13129,""adm2_name"":""Shennongjia""}]",2021/8/13,2023/9/25
2021-0669-CHN,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,CHN,China,Eastern Asia,Asia,"Shanxi, Hebei Provinces",Heavy rainfall and convective storms,,No,No,No,,,Km2,,,,2021,10,2,2021,10,7,18,,1760000,,1760000,,,,,1800000,2024075,88.92949348,"[{""adm1_code"":907,""adm1_name"":""Hebei Sheng""},{""adm1_code"":923,""adm1_name"":""Shanxi Sheng""}]",2021/10/12,2023/9/25
2022-0316-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,"Fujian, Yunnan, Guangxi, Hunan, Jiangxi, Guizhou Provinces",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2022,5,9,2022,5,15,48,,,,,,,300000,312349,5000000,5205820,96.04634213,"[{""adm1_code"":901,""adm1_name"":""Fujian Sheng""},{""adm1_code"":903,""adm1_name"":""Guangdong Sheng""},{""adm1_code"":905,""adm1_name"":""Guizhou Sheng""},{""adm1_code"":912,""adm1_name"":""Hunan Sheng""},{""adm1_code"":914,""adm1_name"":""Jiangxi Sheng""},{""adm1_code"":929,""adm1_name"":""Yunnan Sheng""}]",2022/5/30,2023/9/26
2022-0428-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,"Sichuan, Zhejiang, Gansu provinces",,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,Liao River,2022,7,25,2022,7,28,24,,3000,,3000,,,,,,,96.04634213,"[{""adm1_code"":902,""adm1_name"":""Gansu Sheng""},{""adm1_code"":924,""adm1_name"":""Sichuan Sheng""},{""adm1_code"":930,""adm1_name"":""Zhejiang Sheng""}]",2022/7/19,2023/9/26
2022-0515-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2022-000292,,CHN,China,Eastern Asia,Asia,Xuwen county,Tropical Depression Mulan,,No,No,No,,,Km2,,,,2022,8,10,2022,8,10,,,,,,,,,,,,96.04634213,,2022/8/19,2023/9/26
2022-0530-CHN,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,CHN,China,Eastern Asia,Asia,Datong County (Qinghai); Pengzhou (Sichuan); Heilongjiang and Shanxi,Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2022,8,17,2022,8,19,52,,6200,,6200,,,,,,,96.04634213,"[{""adm1_code"":908,""adm1_name"":""Heilongjiang Sheng""},{""adm1_code"":919,""adm1_name"":""Qinghai Sheng""},{""adm1_code"":923,""adm1_name"":""Shanxi Sheng""},{""adm1_code"":924,""adm1_name"":""Sichuan Sheng""}]",2022/8/19,2023/9/26
2023-0285-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,Jiangxi Province,Heavy rains,Broken Dam/Burst bank,No,No,No,,,Km2,,,,2023,5,5,2023,5,8,,,530000,,530000,,,,,95000,95000,100,,2023/5/8,2024/3/4
2023-0341-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,Leshan City (Sichuan province); Yiliang County (Yunnan province),Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2023,6,1,2023,6,5,25,,,,,,,,,,,100,,2023/6/28,2023/9/26
2023-0417-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,"Sichuan, Henan, Hunan, Guizhou, Shaanxi and Yunan and the Inner Mongolia Autonomous Region",,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2023,7,2,2023,7,5,21,,95000,14000,109000,,,,,,,100,,2023/7/5,2023/9/26
2023-0503-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,"Beijing city, esatern China",Heavy rains,,No,No,No,,,Km2,,,,2023,8,,2023,8,9,51,,600000,,600000,,,,,,,100,,2023/8/9,2023/9/26
2023-0516-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,Shulan City (Jilin Province),Heavy rains,,No,No,No,,,Km2,,,,2023,8,1,2023,8,7,14,,134000,,134000,,,,,,,100,,2023/8/9,2024/3/4
2023-0551-CHN,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,CHN,China,Eastern Asia,Asia,"Weiziping, Xi'an City, southern Shaanxi Province",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2023,8,11,2023,8,16,27,,,,,,,,,,,100,,2023/8/28,2023/9/26
2023-0615-CHN,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,CHN,China,Eastern Asia,Asia,Shenzhen,Heavy rains,,No,No,No,,,Km2,,,,2023,9,7,2023,9,8,,,,,,,,,,,,100,,2023/9/11,2023/10/18
2024-0234-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,"Shaoguan, Guangzhou, Heyuan, Zhaoqing, Qingyuan, Meizhou and Huizhou (Guangdong province); Guangxi, and Jiangxi provinces",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2024,4,19,2024,4,23,24,6,110000,,110006,,,,,1650000,,,,2024/4/22,2025/1/28
2024-0482-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,"Chengxi town (Dianjiang county) and Yuntai town (Changshou county), Chongqing municipality",,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2024,7,11,2024,7,15,6,,7000,,7000,,,,,,,,,2024/7/15,2024/7/22
2024-0514-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,Shangluo (Shaanxi province),,Collapse,No,No,No,,,Km2,,,,2024,7,19,2024,7,19,46,,,,,,,,,,,,,2024/7/23,2024/10/28
2024-0552-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,Zixing (Hunan province),"Heavy rains, Typhoon Gaemi",,No,No,No,,,Km2,,,,2024,7,27,2024,7,30,65,,2700,,2700,,,,,,,,,2024/7/31,2024/8/2
2024-0568-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,"Ridi Village (Kangding county, Garzê Tibetan Autonomous Prefecture, Sichuan province)",Heavy rains,"Collapse|Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2024,8,3,2024,8,4,27,,939,,939,,,,,,,,,2024/8/5,2024/8/7
